delayB,RTT ratio,A-D goodput,B-D goodput,(RTT ratio)2,goodput ratio
25.000000,15805,12355,1.227273,1.506198,1.279239
26.000000,18994,8537,1.236364,1.528595,2.224903
27.000000,19799,7875,1.245455,1.551157,2.514159
28.000000,15636,11757,1.254545,1.573884,1.329931
29.000000,12126,15566,1.263636,1.596777,0.779006
30.000000,14732,12858,1.272727,1.619835,1.145746
31.000000,20884,6849,1.281818,1.643058,3.049204
32.000000,20820,7523,1.290909,1.666446,2.767513
33.000000,17715,9992,1.300000,1.690000,1.772918
34.000000,11418,16181,1.309091,1.713719,0.705642
35.000000,16022,11197,1.318182,1.737603,1.430919
36.000000,20065,7865,1.327273,1.761653,2.551176
37.000000,21397,6722,1.336364,1.785868,3.183130
38.000000,17428,9931,1.345455,1.810248,1.754909
39.000000,12947,14519,1.354545,1.834793,0.891728
40.000000,14780,12730,1.363636,1.859504,1.161037
41.000000,19930,8215,1.372727,1.884380,2.426050
42.000000,21013,6512,1.381818,1.909421,3.226812
43.000000,17010,10101,1.390909,1.934628,1.683992
44.000000,12808,14625,1.400000,1.960000,0.875761
45.000000,15744,12149,1.409091,1.985537,1.295909
46.000000,23511,4919,1.418182,2.011240,4.779630
47.000000,22680,5337,1.427273,2.037107,4.249578
48.000000,16998,9508,1.436364,2.063140,1.787758
49.000000,12294,15212,1.445455,2.089339,0.808178
50.000000,16124,11427,1.454545,2.115702,1.411044
51.000000,21069,6303,1.463636,2.142231,3.342694
52.000000,21368,6149,1.472727,2.168926,3.475037
53.000000,18221,8896,1.481818,2.195785,2.048224
54.000000,15490,11535,1.490909,2.222810,1.342870
55.000000,16958,9834,1.500000,2.250000,1.724425
