delayB,RTT ratio,A-D goodput,B-D goodput,(RTT ratio)2,goodput ratio
25.000000,14958,13754,1.227273,1.506198,1.087538
26.000000,24034,5137,1.236364,1.528595,4.678606
27.000000,23825,5343,1.245455,1.551157,4.459105
28.000000,23387,5808,1.254545,1.573884,4.026687
29.000000,18805,8736,1.263636,1.596777,2.152587
30.000000,15907,12863,1.272727,1.619835,1.236648
31.000000,23713,5300,1.281818,1.643058,4.474151
32.000000,24701,4482,1.290909,1.666446,5.511156
33.000000,23764,5285,1.300000,1.690000,4.496500
34.000000,18941,9339,1.309091,1.713719,2.028161
35.000000,16932,11395,1.318182,1.737603,1.485915
36.000000,25790,3603,1.327273,1.761653,7.157924
37.000000,26163,3338,1.336364,1.785868,7.837927
38.000000,25593,3682,1.345455,1.810248,6.950842
39.000000,19968,7819,1.354545,1.834793,2.553779
40.000000,20005,8580,1.363636,1.859504,2.331585
41.000000,24977,4215,1.372727,1.884380,5.925741
42.000000,24300,4869,1.381818,1.909421,4.990758
43.000000,25079,3929,1.390909,1.934628,6.383049
44.000000,21983,6359,1.400000,1.960000,3.456990
45.000000,18437,10211,1.409091,1.985537,1.805602
46.000000,26006,3311,1.418182,2.011240,7.854425
47.000000,24773,4259,1.427273,2.037107,5.816624
48.000000,24644,4506,1.436364,2.063140,5.469152
49.000000,20878,6437,1.445455,2.089339,3.243436
50.000000,19949,8761,1.454545,2.115702,2.277023
51.000000,25626,3587,1.463636,2.142231,7.144132
52.000000,25292,3982,1.472727,2.168926,6.351582
53.000000,24861,4357,1.481818,2.195785,5.705990
54.000000,22410,5890,1.490909,2.222810,3.804754
55.000000,19940,9028,1.500000,2.250000,2.208684
