delayB,overhead ,recv0,recv1,rttratio,rttratio2,actualratio,ratio1,ratio2
25.000000,0.000000,25553,72040,1.227273,1.506198,0.354706,0.289019,0.235497
26.000000,0.000000,78664,18242,1.236364,1.528595,4.312246,3.487846,2.821052
27.000000,0.000000,79658,17686,1.245455,1.551157,4.504014,3.616362,2.903648
28.000000,0.000000,77988,18954,1.254545,1.573884,4.114593,3.279748,2.614292
29.000000,0.000000,62865,29246,1.263636,1.596777,2.149525,1.701063,1.346165
30.000000,0.000000,59004,37903,1.272727,1.619835,1.556711,1.223130,0.961030
31.000000,0.000000,80195,17032,1.281818,1.643058,4.708490,3.673290,2.865687
32.000000,0.000000,78698,17702,1.290909,1.666446,4.445712,3.443862,2.667780
33.000000,0.000000,78247,17781,1.300000,1.690000,4.400596,3.385074,2.603903
34.000000,0.000000,73260,21009,1.309091,1.713719,3.487077,2.663739,2.034801
35.000000,0.000000,58292,38877,1.318182,1.737603,1.499396,1.137472,0.862910
36.000000,0.000000,78224,18141,1.327273,1.761653,4.312000,3.248767,2.447702
37.000000,0.000000,80346,15481,1.336364,1.785868,5.189975,3.883655,2.906136
38.000000,0.000000,81807,14878,1.345455,1.810248,5.498521,4.086739,3.037441
39.000000,0.000000,66080,27018,1.354545,1.834793,2.445777,1.805607,1.332999
40.000000,0.000000,76836,19997,1.363636,1.859504,3.842376,2.817743,2.066345
41.000000,0.000000,81034,16129,1.372727,1.884380,5.024118,3.659954,2.666191
42.000000,0.000000,78845,17613,1.381818,1.909421,4.476523,3.239589,2.344439
43.000000,0.000000,80725,15883,1.390909,1.934628,5.082478,3.654069,2.627109
44.000000,0.000000,70484,23002,1.400000,1.960000,3.064255,2.188754,1.563396
45.000000,0.000000,79993,17574,1.409091,1.985537,4.551781,3.230296,2.292468
46.000000,0.000000,80660,15934,1.418182,2.011240,5.062131,3.569452,2.516921
47.000000,0.000000,82057,14869,1.427273,2.037107,5.518663,3.866579,2.709068
48.000000,0.000000,83583,13611,1.436364,2.063140,6.140842,4.275270,2.976454
49.000000,0.000000,69218,22702,1.445455,2.089339,3.048982,2.109359,1.459305
50.000000,0.000000,78280,18905,1.454545,2.115702,4.140704,2.846734,1.957129
51.000000,0.000000,81929,14858,1.463636,2.142231,5.514134,3.767421,2.574014
52.000000,0.000000,81145,15741,1.472727,2.168926,5.155009,3.500315,2.376757
53.000000,0.000000,82761,13740,1.481818,2.195785,6.023362,4.064846,2.743147
54.000000,0.000000,69582,23476,1.490909,2.222810,2.963963,1.988024,1.333431
55.000000,0.000000,78443,18839,1.500000,2.250000,4.163862,2.775908,1.850605
