delayB,overhead ,recv0,recv1,rttratio,rttratio2,actualratio,ratio1,ratio2
25.000000,0.000000,41973,36307,1.227273,1.506198,1.156058,0.941973,0.767534
26.000000,0.000000,47246,32926,1.236364,1.528595,1.434915,1.160593,0.938715
27.000000,0.000000,47166,35246,1.245455,1.551157,1.338194,1.074463,0.862707
28.000000,0.000000,54675,26125,1.254545,1.573884,2.092823,1.668192,1.329718
29.000000,0.000000,47738,31781,1.263636,1.596777,1.502092,1.188706,0.940703
30.000000,0.000000,49101,31347,1.272727,1.619835,1.566370,1.230719,0.966994
31.000000,0.000000,47651,32432,1.281818,1.643058,1.469259,1.146230,0.894222
32.000000,0.000000,51184,32568,1.290909,1.666446,1.571604,1.217440,0.943087
33.000000,0.000000,59506,23325,1.300000,1.690000,2.551168,1.962437,1.509567
34.000000,0.000000,52342,28509,1.309091,1.713719,1.835982,1.402486,1.071343
35.000000,0.000000,50337,30686,1.318182,1.737603,1.640390,1.244434,0.944053
36.000000,0.000000,51240,29664,1.327273,1.761653,1.727346,1.301425,0.980526
37.000000,0.000000,52995,31427,1.336364,1.785868,1.686289,1.261849,0.944241
38.000000,0.000000,58106,24655,1.345455,1.810248,2.356763,1.751648,1.301901
39.000000,0.000000,53978,27901,1.354545,1.834793,1.934626,1.428247,1.054411
40.000000,0.000000,52980,28906,1.363636,1.859504,1.832837,1.344081,0.985659
41.000000,0.000000,54854,27753,1.372727,1.884380,1.976507,1.439840,1.048890
42.000000,0.000000,51615,31629,1.381818,1.909421,1.631888,1.180972,0.854651
43.000000,0.000000,62210,22453,1.390909,1.934628,2.770677,1.991990,1.432149
44.000000,0.000000,54844,26424,1.400000,1.960000,2.075537,1.482527,1.058948
45.000000,0.000000,56060,27326,1.409091,1.985537,2.051526,1.455922,1.033235
46.000000,0.000000,56305,26531,1.418182,2.011240,2.122234,1.496447,1.055187
47.000000,0.000000,54523,28852,1.427273,2.037107,1.889748,1.324027,0.927662
48.000000,0.000000,60222,23358,1.436364,2.063140,2.578217,1.794961,1.249657
49.000000,0.000000,56798,23976,1.445455,2.089339,2.368952,1.638898,1.133829
50.000000,0.000000,53876,28021,1.454545,2.115702,1.922701,1.321857,0.908777
51.000000,0.000000,53056,28273,1.463636,2.142231,1.876561,1.282122,0.875984
52.000000,0.000000,58785,26195,1.472727,2.168926,2.244131,1.523792,1.034674
53.000000,0.000000,63041,21088,1.481818,2.195785,2.989425,2.017404,1.361438
54.000000,0.000000,56601,25068,1.490909,2.222810,2.257899,1.514444,1.015786
55.000000,0.000000,56514,26745,1.500000,2.250000,2.113068,1.408712,0.939141
